"id","code","name","dpto_id/id","name_code","dpto_code"
"dpto_47","06","Concepcion Quezaltepeque","l10n_sv_rk.04",CONCEPCIÓN QUEZALTEPEQUE,04
"dpto_48","07","Chalatenango","l10n_sv_rk.04",CHALATENANGO,04
"dpto_49","08","Dulce Nom Maria","l10n_sv_rk.04",DULCE NOM MARÍA,04
"dpto_50","09","El Carrizal","l10n_sv_rk.04",EL CARRIZAL,04
"dpto_51","10","El Paraiso","l10n_sv_rk.04",EL PARAÍSO,04
"dpto_52","11","La Laguna","l10n_sv_rk.04",LA LAGUNA,04
"dpto_53","12","La Palma","l10n_sv_rk.04",LA PALMA,04
"dpto_54","13","La Reina","l10n_sv_rk.04",LA REINA,04
"dpto_55","14","Las Vueltas","l10n_sv_rk.04",LAS VUELTAS,04
"dpto_56","15","Nombre De Jesus","l10n_sv_rk.04",NOMBRE DE JESUS,04
"dpto_57","16","Nva Concepcion","l10n_sv_rk.04",NVA CONCEPCIÓN,04
"dpto_58","17","Nueva Trinidad","l10n_sv_rk.04",NUEVA TRINIDAD,04
"dpto_59","18","Ojos De Agua","l10n_sv_rk.04",OJOS DE AGUA,04
"dpto_60","19","Potonico","l10n_sv_rk.04",POTONICO,04
"dpto_61","20","San Ant La Cruz","l10n_sv_rk.04",SAN ANT LA CRUZ,04
"dpto_62","21","San Ant Ranchos","l10n_sv_rk.04",SAN ANT RANCHOS,04
"dpto_63","22","San Fernando","l10n_sv_rk.04",SAN FERNANDO,04
"dpto_64","23","San Francisco Lempa","l10n_sv_rk.04",SAN FRANCISCO LEMPA,04
"dpto_65","24","San Francisco Morazan","l10n_sv_rk.04",SAN FRANCISCO MORAZÁN,04
"dpto_66","25","San Ignacio","l10n_sv_rk.04",SAN IGNACIO,04
"dpto_67","26","San I Labrador","l10n_sv_rk.04",SAN I LABRADOR,04
"dpto_68","27","San J Cancasque","l10n_sv_rk.04",SAN J CANCASQUE,04
"dpto_69","28","San Jose Flores","l10n_sv_rk.04",SAN JOSE FLORES,04
"dpto_70","29","San Luis Carmen","l10n_sv_rk.04",SAN LUIS CARMEN,04
"dpto_71","30","Sn Mig Mercedes","l10n_sv_rk.04",SN MIG MERCEDES,04
"dpto_72","31","San Rafael","l10n_sv_rk.04",SAN RAFAEL,04
"dpto_73","32","Santa Rita","l10n_sv_rk.04",SANTA RITA,04
"dpto_74","33","Tejutla","l10n_sv_rk.04",TEJUTLA,04
"dpto_75","01","Antiguo Cuscatlan","l10n_sv_rk.05",ANTGO CUSCATLÁN,05
"dpto_76","02","Ciudad Arce","l10n_sv_rk.05",CIUDAD ARCE,05
"dpto_77","03","Colon","l10n_sv_rk.05",COLON,05
"dpto_78","04","Comasagua","l10n_sv_rk.05",COMASAGUA,05
"dpto_79","05","Chiltiupan","l10n_sv_rk.05",CHILTIUPAN,05
"dpto_80","06","Huizucar","l10n_sv_rk.05",HUIZÚCAR,05
"dpto_81","07","Jayaque","l10n_sv_rk.05",JAYAQUE,05
"dpto_82","08","Jicalapa","l10n_sv_rk.05",JICALAPA,05
"dpto_83","09","La Libertad","l10n_sv_rk.05",LA LIBERTAD,05
"dpto_84","10","Nuevo Cuscatlan","l10n_sv_rk.05",NUEVO CUSCATLÁN,05
"dpto_85","11","Santa Tecla","l10n_sv_rk.05",SANTA TECLA,05
"dpto_86","12","Quezaltepeque","l10n_sv_rk.05",QUEZALTEPEQUE,05
"dpto_87","13","Sacacoyo","l10n_sv_rk.05",SACACOYO,05
"dpto_88","14","Sn J Villanueva","l10n_sv_rk.05",SN J VILLANUEVA,05
"dpto_89","15","San Juan Opico","l10n_sv_rk.05",SAN JUAN OPICO,05
"dpto_90","16","San Matias","l10n_sv_rk.05",SAN MATÍAS,05
"dpto_91","17","San P Tacachico","l10n_sv_rk.05",SAN P TACACHICO,05
"dpto_92","18","Tamanique","l10n_sv_rk.05",TAMANIQUE,05
"dpto_93","19","Talnique","l10n_sv_rk.05",TALNIQUE,05
"dpto_94","20","Teotepeque","l10n_sv_rk.05",TEOTEPEQUE,05
"dpto_95","21","Tepecoyo","l10n_sv_rk.05",TEPECOYO,05
"dpto_96","22","Zaragoza","l10n_sv_rk.05",ZARAGOZA,05
"dpto_97","01","Aguilares","l10n_sv_rk.06",AGUILARES,06
"dpto_98","02","Apopa","l10n_sv_rk.06",APOPA,06
"dpto_99","03","Ayutuxtepeque","l10n_sv_rk.06",AYUTUXTEPEQUE,06
"dpto_100","04","Cuscatancingo","l10n_sv_rk.06",CUSCATANCINGO,06
"dpto_101","05","El Paisnal","l10n_sv_rk.06",EL PAISNAL,06
"dpto_102","06","Guazapa","l10n_sv_rk.06",GUAZAPA,06
"dpto_103","07","Ilopango","l10n_sv_rk.06",ILOPANGO,06
"dpto_104","08","Mejicanos","l10n_sv_rk.06",MEJICANOS,06
"dpto_105","09","Nejapa","l10n_sv_rk.06",NEJAPA,06
"dpto_106","10","Panchimalco","l10n_sv_rk.06",PANCHIMALCO,06
"dpto_107","11","Rosario De Mora","l10n_sv_rk.06",ROSARIO DE MORA,06
"dpto_108","12","San Marcos","l10n_sv_rk.06",SAN MARCOS,06
"dpto_109","13","San Martin","l10n_sv_rk.06",SAN MARTIN,06
"dpto_110","14","San Salvador","l10n_sv_rk.06",SAN SALVADOR,06
"dpto_111","15","Stg Texacuangos","l10n_sv_rk.06",STG TEXACUANGOS,06
"dpto_112","16","Santo Tomas","l10n_sv_rk.06",SANTO TOMAS,06
"dpto_113","17","Soyapango","l10n_sv_rk.06",SOYAPANGO,06
"dpto_114","18","Tonacatepeque","l10n_sv_rk.06",TONACATEPEQUE,06
"dpto_115","19","Ciudad Delgado","l10n_sv_rk.06",CIUDAD DELGADO,06
"dpto_116","01","Candelaria","l10n_sv_rk.07",CANDELARIA,07
"dpto_117","02","Cojutepeque","l10n_sv_rk.07",COJUTEPEQUE,07
"dpto_118","03","El Carmen","l10n_sv_rk.07",EL CARMEN,07
"dpto_119","04","El Rosario","l10n_sv_rk.07",EL ROSARIO,07
"dpto_120","05","Monte San Juan","l10n_sv_rk.07",MONTE SAN JUAN,07
"dpto_121","06","Orat Concepcion","l10n_sv_rk.07",ORAT CONCEPCIÓN,07
"dpto_122","07","San B Perulapia","l10n_sv_rk.07",SAN B PERULAPIA,07
"dpto_123","08","San Cristobal","l10n_sv_rk.07",SAN CRISTÓBAL,07
"dpto_124","09","San J Guayabal","l10n_sv_rk.07",SAN J GUAYABAL,07
"dpto_125","10","San P Perulapan","l10n_sv_rk.07",SAN P PERULAPÁN,07
"dpto_126","11","San Raf Cedros","l10n_sv_rk.07",SAN RAF CEDROS,07
"dpto_127","12","San Ramon","l10n_sv_rk.07",SAN RAMON,07
"dpto_128","13","Sta C Analquito","l10n_sv_rk.07",STA C ANALQUITO,07
"dpto_129","14","Sta C Michapa","l10n_sv_rk.07",STA C MICHAPA,07
"dpto_130","15","Suchitoto","l10n_sv_rk.07",SUCHITOTO,07
"dpto_131","16","Tenancingo","l10n_sv_rk.07",TENANCINGO,07
"dpto_132","01","Cuyultitan","l10n_sv_rk.08",CUYULTITÁN,08
"dpto_133","02","Rosario La Paz","l10n_sv_rk.08",EL ROSARIO,08
"dpto_134","03","Jerusalen","l10n_sv_rk.08",JERUSALÉN,08
"dpto_135","04","Merced La Ceiba","l10n_sv_rk.08",MERCED LA CEIBA,08
"dpto_136","05","Olocuilta","l10n_sv_rk.08",OLOCUILTA,08
"dpto_137","06","Paraiso Osorio","l10n_sv_rk.08",PARAÍSO OSORIO,08
"dpto_138","07","Sn Ant Masahuat","l10n_sv_rk.08",SN ANT MASAHUAT,08
"dpto_139","08","San Emigdio","l10n_sv_rk.08",SAN EMIGDIO,08
"dpto_140","09","Sn Fco Chinamec","l10n_sv_rk.08",SN FCO CHINAMEC,08
"dpto_141","10","San J Nonualco","l10n_sv_rk.08",SAN J NONUALCO,08
"dpto_142","11","San Juan Talpa","l10n_sv_rk.08",SAN JUAN TALPA,08
"dpto_143","12","San Juan Tepezontes","l10n_sv_rk.08",SAN JUAN TEPEZONTES,08
"dpto_144","13","San Luis Talpa","l10n_sv_rk.08",SAN LUIS TALPA,08
