"id","code","name"
"giro_000105","10401","Fabricación de aceites y grasas vegetales y animales comestibles"
"giro_000106","10402","Fabricación de aceites y grasas vegetales y animales no comestibles"
"giro_000107","10409","Servicio de maquilado de aceites"
"giro_000108","10501","Fabricación de productos lácteos excepto sorbetes y quesos sustitutos"
"giro_000109","10502","Fabricación de sorbetes y helados"
"giro_000110","10503","Fabricación de quesos"
"giro_000111","10611","Molienda de cereales"
"giro_000112","10612","Elaboración de cereales para el desayuno y similares"
"giro_000113","10613","Servicios de beneficiado de productos agrícolas ncp (excluye Beneficio de azúcar rama 1072 y beneficio de café rama 0163)"
"giro_000114","10621","Fabricación de almidón"
"giro_000115","10628","Servicio de molienda de maíz húmedo molino para nixtamal"
"giro_000116","10711","Elaboración de tortillas"
"giro_000117","10712","Fabricación de pan, galletas y barquillos"
"giro_000118","10713","Fabricación de repostería"
"giro_000119","10721","Ingenios azucareros"
"giro_000120","10722","Molienda de caña de azúcar para la elaboración de dulces"
"giro_000121","10723","Elaboración de jarabes de azúcar y otros similares"
"giro_000122","10724","Maquilado de azúcar de caña"
"giro_000123","10730","Fabricación de cacao, chocolates y productos de confitería"
"giro_000124","10740","Elaboración de macarrones, fideos, y productos farináceos similares"
"giro_000125","10750","Elaboración de comidas y platos preparados para la reventa en locales y/o para exportación"
"giro_000126","10791","Elaboración de productos de café"
"giro_000127","10792","Elaboración de especies, sazonadores y condimentos"
"giro_000128","10793","Elaboración de sopas, cremas y consomé"
"giro_000129","10794","Fabricación de bocadillos tostados y/o fritos"
"giro_000130","10799","Elaboración de productos alimenticios ncp"
"giro_000131","10800","Elaboración de alimentos preparados para animales"
"giro_000132","","ELABORACIÓN DE BEBIDAS"
"giro_000133","11012","Fabricación de aguardiente y licores"
"giro_000134","11020","Elaboración de vinos"
"giro_000135","11030","Fabricación de cerveza"
"giro_000136","11041","Fabricación de aguas gaseosas"
"giro_000137","11042","Fabricación y envasado de agua"
"giro_000138","11043","Elaboración de refrescos"
"giro_000139","11048","Maquilado de aguas gaseosas"
"giro_000140","11049","Elaboración de bebidas no alcohólicas"
"giro_000141","","ELABORACIÓN DE PRODUCTOS DE TABACO"
"giro_000142","12000","Elaboración de productos de tabaco"
"giro_000143","","FABRICACIÓN DE PRODUCTOS TEXTILES"
"giro_000144","13111","Preparación de fibras textiles"
"giro_000145","13112","Fabricación de hilados"
"giro_000146","13120","Fabricación de telas"
"giro_000147","13130","Acabado de productos textiles"
"giro_000148","13910","Fabricación de tejidos de punto y ganchillo"
"giro_000149","13921","Fabricación de productos textiles para el hogar"
"giro_000150","13922","Sacos, bolsas y otros artículos textiles"
"giro_000151","13929","Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir ncp"
"giro_000152","13930","Fabricación de tapices y alfombras"
"giro_000153","13941","Fabricación de cuerdas de henequén y otras fibras naturales (lazos, pitas)"
"giro_000154","13942","Fabricación de redes de diversos materiales"
"giro_000155","13948","Maquilado de productos trenzables de cualquier material (petates,sillas, etc.)"
"giro_000156","13991","Fabricación de adornos, etiquetas y otros artículos para prendas de vestir"
"giro_000157","13992","Servicio de bordados en artículos y prendas de tela"
"giro_000158","13999","Fabricación de productos textiles ncp"
"giro_000159","","FABRICACIÓN DE PRENDAS DE VESTIR"
"giro_000160","14101","Fabricación de ropa interior, para dormir y similares"
"giro_000161","14102","Fabricación de ropa para niños"
"giro_000162","14103","Fabricación de prendas de vestir para ambos sexos"
"giro_000163","14104","Confección de prendas a medida"
"giro_000164","14105","Fabricación de prendas de vestir para deportes"
"giro_000165","14106","Elaboración de artesanías de uso personal confeccionadas especialmente de materiales textiles"
"giro_000166","14108","Maquilado de prendas de vestir, accesorios y otros"
"giro_000167","14109","Fabricación de prendas y accesorios de vestir n.c.p."
"giro_000168","14200","Fabricación de artículos de piel"
"giro_000169","14301","Fabricación de calcetines, calcetas, medias (panty house) y otros similares"
"giro_000170","14302","Fabricación de ropa interior de tejido de punto"
"giro_000171","14309","Fabricación de prendas de vestir de tejido de punto ncp"
"giro_000172","","FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS"
"giro_000173","15110","Curtido y adobo de cueros; adobo y teñido de pieles"
